game_id,white_name,black_name,winner,white_elo,black_elo,opening
1,EL_DON_DE_LOS_ELOTES,incik1352,2,1657,1610,Bishop's Opening: Berlin Defense
2,Cammyd8173,SeanIrons,2,971,1093,Queen's Gambit Declined: Albin Countergambit
3,CHOQUEDF,jundumo,2,1693,1698,Mikenas Defense
4,Rafly168,anonerer,1,1759,1704,"French Defense: Tarrasch Variation, Guimard Defense"
5,Vaquangnam47,robtsr,2,1137,1184,French Defense: Queen's Knight
6,Moki_V,morphyscity,1,1367,1380,Sicilian Defense: Old Sicilian
7,ParteetSingh,AnhadPDX,2,908,852,King's Pawn Game: Wayward Queen Attack
8,aanchar,Kifsif,2,1706,1605,Caro-Kann Defense: Exchange Variation
9,Seryi_Danya,David_Martinezz,1,1231,1242,Scandinavian Defense
10,O_64,chergui-Salah,1,1920,1930,"English Opening: Symmetrical Variation, Four Knights Variation"
11,slawo81,dczartowski,2,1279,1300,King's Pawn Game: Busch-Gass Gambit
12,prajit0,BarryBigPotataz,2,1516,1603,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
13,innovatorisback,lilubpar2,2,1668,1661,King's Pawn Game: McConnell Defense
14,AliMujahid,ramos08,1,1610,1500,Queen's Gambit Accepted: Saduleto Variation
15,KingSmasher35,BEGONTE,1,2022,1857,Queen's Pawn Game: Accelerated London System
16,syonsb,zaika256,1,997,913,Scandinavian Defense: Mieses-Kotroc Variation
17,tomokast,BordsKael,0,1774,1753,Indian Defense: Budapest Defense
18,UlsterJohn,crackstonee,2,1362,1455,Indian Defense
19,shadalbe,Erle_Gorena,2,1921,1850,"French Defense: Advance Variation, Euwe Variation"
20,nzdg1983,GNveNG,2,1394,1671,Indian Defense: Przepiorka Variation
21,LordSalva,Filomoriya,0,1463,1712,Caro-Kann Defense: Exchange Variation
22,ParteetSingh,maia1,0,908,1507,Sicilian Defense
23,Telepati_id,ps_00_sq,2,1327,1320,Three Knights Opening: Schlechter Variation
24,AnhadPDX,maia1,2,852,1507,Philidor Defense
